[Thu Sep 12 12:34:41.231653 2019] [php7:error] [pid 3687] [client 172.68.144.142:55222] PHP Fatal error:  Class 'App\\Http\\Controllers\\Admin\\Controller' not found in /home/exchange/dev.doch.exchange/app/Http/Controllers/Admin/DochTransactionController.php on line 8
[Thu Sep 12 12:34:49.300722 2019] [php7:error] [pid 3045] [client 172.68.144.184:35590] PHP Fatal error:  Class 'App\\Http\\Controllers\\Admin\\Controller' not found in /home/exchange/dev.doch.exchange/app/Http/Controllers/Admin/DochTransactionController.php on line 8
[Thu Sep 12 12:34:51.461440 2019] [php7:error] [pid 3641] [client 172.68.144.184:37784] PHP Fatal error:  Class 'App\\Http\\Controllers\\Admin\\Controller' not found in /home/exchange/dev.doch.exchange/app/Http/Controllers/Admin/DochTransactionController.php on line 8
[Sat Sep 14 18:03:23.017330 2019] [php7:error] [pid 13280] [client 172.69.135.31:50682] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in /home/exchange/dev.doch.exchange/app/Http/Controllers/DochTransactionController.php on line 4
[Sat Sep 14 18:03:23.021958 2019] [php7:error] [pid 13334] [client 172.69.135.31:50680] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in /home/exchange/dev.doch.exchange/app/Http/Controllers/DochTransactionController.php on line 4
[Sat Sep 14 18:03:23.027694 2019] [php7:error] [pid 14169] [client 162.158.167.103:58010] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in /home/exchange/dev.doch.exchange/app/Http/Controllers/DochTransactionController.php on line 4
[Sat Sep 14 18:03:23.029628 2019] [php7:error] [pid 5592] [client 162.158.166.20:38474] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in /home/exchange/dev.doch.exchange/app/Http/Controllers/DochTransactionController.php on line 4
[Sat Sep 14 18:03:23.032967 2019] [php7:error] [pid 13445] [client 162.158.167.141:40166] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in /home/exchange/dev.doch.exchange/app/Http/Controllers/DochTransactionController.php on line 4
[Sat Sep 14 18:03:23.041315 2019] [php7:error] [pid 13220] [client 162.158.167.249:26896] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in /home/exchange/dev.doch.exchange/app/Http/Controllers/DochTransactionController.php on line 4
[Sat Sep 14 18:03:23.044139 2019] [php7:error] [pid 13206] [client 172.69.135.235:51776] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in /home/exchange/dev.doch.exchange/app/Http/Controllers/DochTransactionController.php on line 4
[Sat Sep 14 18:03:23.049253 2019] [php7:error] [pid 13216] [client 162.158.167.249:26894] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in /home/exchange/dev.doch.exchange/app/Http/Controllers/DochTransactionController.php on line 4
